"","Name_submitted","Accepted_name","Accepted.Symbol","Synonym.Symbol","Symbol","PLANTS.Floristic.Area","State.and.Province","Category","Family","Duration","Growth.Habit","Native.Status","Characteristics.Data","Active.Growth.Period","After.Harvest.Regrowth.Rate","Bloat","C.N.Ratio","Coppice.Potential","Fall.Conspicuous","Fire.Resistance","Flower.Color","Flower.Conspicuous","Foliage.Color","Foliage.Porosity.Summer","Foliage.Porosity.Winter","Foliage.Texture","Fruit.Color","Fruit.Conspicuous","Growth.Form","Growth.Rate","Height.at.Base.Age..Maximum..feet.","Height..Mature..feet.","Known.Allelopath","Leaf.Retention","Lifespan","Low.Growing.Grass","Nitrogen.Fixation","Resprout.Ability","Shape.and.Orientation","Toxicity","Adapted.to.Coarse.Textured.Soils","Adapted.to.Medium.Textured.Soils","Adapted.to.Fine.Textured.Soils","Anaerobic.Tolerance","CaCO.SUB.3..SUB..Tolerance","Cold.Stratification.Required","Drought.Tolerance","Fertility.Requirement","Fire.Tolerance","Frost.Free.Days..Minimum","Hedge.Tolerance","Moisture.Use","pH..Minimum.","pH..Maximum.","Planting.Density.per.Acre..Minimum","Planting.Density.per.Acre..Maximum","Precipitation..Minimum.","Precipitation..Maximum.","Root.Depth..Minimum..inches.","Salinity.Tolerance","Shade.Tolerance","Temperature..Minimum..F.","Bloom.Period","Commercial.Availability","Fruit.Seed.Abundance","Fruit.Seed.Period.Begin","Fruit.Seed.Period.End","Fruit.Seed.Persistence","Propogated.by.Bare.Root","Propogated.by.Bulbs","Propogated.by.Container","Propogated.by.Corms","Propogated.by.Cuttings","Propogated.by.Seed","Propogated.by.Sod","Propogated.by.Sprigs","Propogated.by.Tubers","Seeds.per.Pound","Seed.Spread.Rate","Seedling.Vigor","Small.Grain","Vegetative.Spread.Rate","Berry.Nut.Seed.Product","Christmas.Tree.Product","Fodder.Product","Fuelwood.Product","Lumber.Product","Naval.Store.Product","Nursery.Stock.Product","Palatable.Browse.Animal","Palatable.Graze.Animal","Palatable.Human","Post.Product","Protein.Potential","Pulpwood.Product","Veneer.Product"
"30","Acer spicatum","Acer spicatum","ACSP2",NA,"ACSP2","NA (L48, CAN, SPM)","CAN(LB, MB, NB, NF, NS, ON, PE, QC, SK), FRA(SB), USA(AL, CT, GA, IA, KY, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, RI, TN, VA, VT, WI, WV)","Dicot","Aceraceae","Perennial","Tree, Shrub","L48(N)CAN(N)SPM(N)","Yes","Spring and Summer",NA,"None","High","Yes","Yes","No","Yellow","No","Green","Dense","Porous","Coarse","Brown","No","Multiple Stem","Moderate",25,25,"No","No","Moderate","No","None","Yes","Erect","None","No","Yes","No","Low","Medium","Yes","Low","Medium","High",100,"None","Medium",4.8,7,700,1100,30,70,32,"None","Tolerant",-47,"Spring","No Known Source","High","Summer","Fall","Yes","Yes","No","Yes","No","No","Yes","No","No","No",22720,"Moderate","Medium","No","None","No","No","No","Low","No","No","Yes","Medium","Low","No","No","Low","No","No"
"31","Achillea millefolium","Achillea millefolium","ACMI2",NA,"ACMI2","NA (L48, AK, CAN, GL, SPM), HI","CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN(GL), FRA(SB), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)","Dicot","Asteraceae","Perennial","Forb/herb","L48(I,N)AK(N)HI(I)CAN(NI)GL(N)SPM(NI)","Yes","Spring","Moderate","Low","Medium","No","No","No","White","Yes","Green","Porous","Porous","Fine","Brown","No","Rhizomatous","Moderate",NA,3,"No","No","Moderate","No","None","No","Erect","Slight","No","Yes","No","None","Medium","No","Medium","Medium","High",120,"None","Medium",6,8,4800,19000,8,60,8,"Low","Intermediate",-38,"Early Summer","Routinely Available","Medium","Summer","Summer","Yes","No","No","Yes","No","No","Yes","No","Yes","No",2852012,"Slow","Low","No","Slow","No","No","No",NA,"No","No","Yes","Medium","Low","No","No","Low","No","No"
"32","Achillea millefolium var. occidentalis","Achillea millefolium subsp. millefolium","ACMIO",NA,"ACMIO","NA (L48, AK, CAN, GL, SPM)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN(GL), FRA(SB), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)","Dicot","Asteraceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)GL(N)SPM(N)","Yes","Spring","Moderate","None","Medium","No","No","No","White","Yes","Green","Porous","Porous","Fine","Brown","No","Rhizomatous","Moderate",NA,3,"No","No","Moderate","No","None","No","Erect","Slight","Yes","Yes","No","None","Medium","No","Medium","Low","High",100,"None","Medium",6,8,4800,19000,8,26,8,"Low","Intermediate",-38,"Late Spring","Routinely Available","Medium","Summer","Fall","No","No","No","No","No","No","Yes","No","Yes","No",3411818,"Moderate","High","No","Rapid","No","No","No",NA,"No","No","No","Low","Low","No","No","Low","No","No"
"33","Achnatherum hymenoides","Eriocoma hymenoides","ACHY",NA,"ACHY","NA (L48, CAN)","CAN(AB, BC, MB, SK, YT), USA(AR, AZ, CA, CO, ID, KS, MN, MT, ND, NE, NM, NV, OK, OR, SD, TX, UT, WA, WY)","Monocot","Poaceae","Perennial","Graminoid","L48(N)CAN(N)","Yes","Spring, Summer, Fall","Moderate","None","Medium","No","No","No","Yellow","No","Green","Moderate","Porous","Medium","Brown","No","Bunch","Moderate",NA,2,"No","No","Short","No","None","No","Erect","None","Yes","Yes","No","None","High","Yes","High","Low","High",90,"None","Low",6.6,8.6,NA,NA,8,16,18,"Low","Intolerant",-36,"Late Spring","Routinely Available","High","Spring","Summer","Yes","No","No","No","No","No","Yes","No","No","No",161920,"Rapid","High","No","None","No","No","Yes",NA,"No","No","No","High","High","No","No","Medium","No","No"
"34","Achnatherum lemmonii var. lemmonii",NA,"ACLEL",NA,"ACLEL","NA (L48)","USA(AZ, CA, ID, MT, NV, OR, UT, WA)","Monocot","Poaceae","Perennial","Graminoid","L48(N)CAN(N)","Yes","Spring, Summer, Fall","Slow","None","Medium","No","No","No","Yellow","No","Green","Moderate","Porous","Medium","Brown","No","Bunch","Slow",NA,3,"No","No","Moderate","Yes","None","No","Semi-Erect","None","Yes","Yes","No","None","Medium","No","High","Low","High",90,"None","Low",6,7.5,NA,NA,10,20,12,"None","Intolerant",-28,"Summer","No Known Source","Low","Summer","Fall","No","No","No","No","No","No","Yes","No","No","No",239000,"Moderate","Medium","No","None","No","No","Yes",NA,"No","No","No","Medium","Medium","No","No","Low","No","No"
"35","Achnatherum lettermanii","Eriocoma lettermanii","ACLE9",NA,"ACLE9","NA (L48)","USA(AZ, CA, CO, ID, MT, NM, NV, OR, UT, WY)","Monocot","Poaceae","Perennial","Graminoid","L48(N)","Yes","Spring, Summer, Fall","Slow","None","Medium","No","No","No","Yellow","No","Green","Moderate","Porous","Medium","Brown","No","Bunch","Slow",NA,2,"No","No","Moderate","Yes","None","No","Semi-Erect","None","Yes","Yes","No","None","Medium","No","High","Low","High",90,"None","Low",6,7.6,NA,NA,6,20,12,"None","Intolerant",-28,"Summer","Contracting Only","Low","Summer","Fall","No","No","No","No","No","No","Yes","No","No","No",225000,"Moderate","High","No","None","No","No","Yes",NA,"No","No","No","High","High","No","No","Low","No","No"
"36","Achnatherum nelsonii ssp. dorei","Eriocoma nelsonii subsp. dorei","ACNED",NA,"ACNED","NA (L48, CAN)","CAN(AB, BC, SK, YT), USA(AZ, CA, CO, ID, MT, NM, NV, OR, SD, TX, UT, WA, WY)","Monocot","Poaceae","Perennial","Graminoid","L48(N)CAN(N)","Yes","Spring and Summer","Moderate","None","Medium","No","No","No","Yellow","No","Green","Moderate","Porous","Fine","Brown","No","Bunch","Moderate",NA,3,"No","No","Short","No","None","No","Erect","None","No","Yes","No","None","Medium","No","High","Low","High",135,"None","Low",6.8,8,NA,NA,6,20,10,"None","Intolerant",-28,"Early Summer","No Known Source","Medium","Summer","Summer","No","No","No","No","No","No","Yes","No","No","No",213000,"Slow","Low","No","None","No","No","Yes",NA,"No","No","No","Low","Medium","No","No","Medium","No","No"
"37","Achnatherum occidentale ssp. occidentale",NA,"ACOCO",NA,"ACOCO","NA (L48)","USA(CA)","Monocot","Poaceae","Perennial","Graminoid","L48(N)","Yes","Spring and Summer","Slow","None","Medium","No","No","No","Yellow","No","Green","Moderate","Porous","Fine","Brown","No","Bunch","Moderate",NA,2,"No","No","Moderate","No","None","No","Erect","None","Yes","Yes","No","None","Low","No","High","Low","High",110,"None","Low",5.7,7.5,NA,NA,8,14,16,"Low","Intermediate",-28,"Late Spring","No Known Source","Medium","Summer","Summer","No","No","No","No","No","No","Yes","No","No","No",285000,"Moderate",NA,"No","Moderate","No","No","Yes",NA,"No","No","No","Medium","Medium","No","No","Low","No","No"
"38","Achnatherum speciosum","Pappostipa speciosa","ACSP12",NA,"ACSP12","NA (L48)","USA(AZ, CA, CO, NM, NV, OR, UT)","Monocot","Poaceae","Perennial","Graminoid","L48(N)","Yes","Spring and Summer","Slow","None","Medium","No","No","No","Yellow","No","Green","Moderate","Porous","Medium","Brown","No","Bunch","Moderate",NA,2,"No","No","Moderate","No","None","No","Erect","None","Yes","Yes","No","None","Medium","No","High","Low","High",120,"None","Low",6,7.7,NA,NA,6,14,10,"Low","Intolerant",-13,"Late Spring","No Known Source","Medium","Summer","Summer","No","No","No","No","No","No","Yes","No","No","No",225000,"Moderate","Medium","No",NA,"No","No","Yes",NA,"No","No","No","Medium","Medium","No","No","Low","No","No"
"39","Achnatherum thurberianum","Eriocoma thurberiana","ACTH7",NA,"ACTH7","NA (L48)","USA(CA, CO, ID, MT, NV, OR, UT, WA, WY)","Monocot","Poaceae","Perennial","Graminoid","L48(N)","Yes","Spring and Summer","Slow","None","Medium","No","No","No","Yellow","No","Gray-Green","Moderate","Porous","Fine","Brown","No","Bunch","Moderate",NA,2,"No","No","Moderate","No","None","No","Erect","None","Yes","Yes","No","None","Low","No","High","Low","High",100,"None","Low",6,7.5,NA,NA,6,16,10,"Low","Intolerant",-23,"Mid Spring","Field Collections Only","Medium","Spring","Summer","No","No","No","No","No","No","Yes","No","No","No",225000,"Slow","Medium","No","None","No","No","Yes",NA,"No","No","No","Low","Medium","No","No","Low","No","No"
"40","Acmella oppositifolia var. repens","Acmella repens","ACOPR",NA,"ACOPR","NA (L48)","USA(AL, AR, FL, GA, LA, MO, MS, NC, OK, SC, TN, TX)","Dicot","Asteraceae","Perennial","Forb/herb","L48(N)","Yes","Summer","Slow","None","Medium","No","No","Yes","Green","Yes","Green","Porous","Porous","Fine","Black","No","Stoloniferous","Rapid",NA,1,"No","No","Long","No","None","No","Prostrate","None","No","Yes","Yes","Low","Medium","No","Low","Low","Low",200,"None","Medium",5,7.5,4800,19000,30,50,6,"None","Intolerant",-3,"Late Summer","No Known Source","Medium","Summer","Fall","No","No","No","No","No","No","No","No","Yes","No",NA,"Slow","Medium","No","Slow","No","No","No",NA,"No","No","No",NA,"High","No","No",NA,"No","No"
"41","Aconitum columbianum","Aconitum columbianum","ACCO4",NA,"ACCO4","NA (L48, CAN)","CAN(BC), USA(AZ, CA, CO, IA, ID, MT, NM, NV, OR, SD, UT, WA, WY)","Dicot","Ranunculaceae","Perennial","Forb/herb","L48(N)CAN(N)","Yes","Spring and Summer","Slow","None","Medium","No","No","No","Blue","Yes","Green","Moderate","Porous","Medium","Black","No","Single Crown","Moderate",NA,5,"No","No","Moderate","No","None","No","Erect","Moderate","Yes","Yes","Yes","Medium","Medium","No","Low","Medium","Medium",110,"None","High",5.4,7.2,700,1200,12,50,10,"None","Intermediate",-28,"Early Summer","Routinely Available","Medium","Summer","Summer","No","No","No","Yes","No","No","Yes","No","No","No",NA,"Moderate","Medium","No","None","No","No","No",NA,"No","No","Yes","Low","Low","No","No","Low","No","No"
"42","Acorus americanus","Acorus calamus var. americanus","ACAM",NA,"ACAM","NA (L48, AK, CAN)","CAN(AB, BC, MB, NB, NF, NS, NT, ON, PE, QC, SK), USA(AK, CT, DC, DE, IA, ID, IL, IN, MA, ME, MI, MN, MT, ND, NE, NH, NJ, NY, OH, PA, RI, SD, VA, VT, WA, WI)","Monocot","Acoraceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)","Yes","Spring and Summer","Slow","None",NA,"No","No","Yes","Yellow","No","Green","Dense","Moderate","Medium","Green","No","Rhizomatous","Moderate",NA,4,"No","No","Moderate","No","None","No","Erect","None","No","Yes","Yes","High","Low","No","None","Medium","None",120,"None","High",5.6,7.2,3450,4800,16,65,10,"None","Intolerant",-38,"Late Spring","Routinely Available","Medium","Summer","Fall","No","No","No","No","No","No","No","No","Yes","No",NA,"Slow","High","No","Moderate","No","No","No",NA,"No","No","No",NA,"Low","No","No",NA,"No","No"
"43","Acorus calamus","Acorus calamus","ACCA4",NA,"ACCA4","NA (L48, CAN)","CAN(MB, NB, NS, ON, PE, QC), USA(AL, AR, CA, CO, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, VA, VT, WA, WI, WV)","Monocot","Acoraceae","Perennial","Forb/herb","L48(I)CAN(I)","Yes","Spring and Summer","Moderate","None","High","No","No","No","Yellow","No","Green","Dense","Porous","Coarse","Brown","No","Rhizomatous","Moderate",NA,5,"No","No","Moderate","No","None","No","Semi-Erect","None","Yes","Yes","No","High","Medium","No","None","Medium","High",90,"None","High",5.2,7.2,2700,4850,32,60,12,"Low","Intolerant",-38,"Late Spring","Routinely Available","Low","Summer","Summer","No","Yes","No","Yes","No","No","No","No","Yes","No",498454,"None","Low","No","Moderate","No","No","No",NA,"No","No","Yes","Low","Low","No","No","Low","No","No"
"44","Adenostoma fasciculatum","Adenostoma fasciculatum","ADFA",NA,"ADFA","NA (L48)","USA(CA, NV)","Dicot","Rosaceae","Perennial","Shrub","L48(N)","Yes","Fall, Winter and Spring",NA,"None",NA,"Yes","No","Yes","White","No","Dark Green","Moderate","Moderate","Medium","Brown","No","Thicket Forming",NA,6,10,"Yes","Yes","Moderate","No","None","Yes","Semi-Erect","None","Yes","Yes","Yes","None","Low","No","High","Low","High",120,"High","Medium",4,6,1500,1200,6,30,8,"Medium","Intolerant",32,"Mid Spring","Contracting Only","Medium","Summer","Fall","Yes","Yes","No","Yes","No","No","Yes","No","No","No",413000,"Slow","High","No",NA,"No","No","No",NA,"No","No","No","Medium","Low","No","No","Medium","No","No"
"45","Adiantum capillus-veneris","Adiantum capillus-veneris","ADCA",NA,"ADCA","NA (L48, CAN), HI, PR","CAN(BC), USA+(PR), USA(AL, AR, AZ, CA, CO, FL, GA, HI, KY, LA, MD, MO, MS, NC, NM, NV, OH, OK, SC, SD, TN, TX, UT, VA)","Fern","Pteridaceae","Perennial","Forb/herb","L48(N)HI(N)PR(N)CAN(N)","Yes","Spring and Summer","Slow","None",NA,"No","No","No","White","No","Green","Porous","Porous","Fine","Brown","No","Rhizomatous","Moderate",NA,2,"No","No","Moderate","No","None","No","Erect","None","No","Yes","Yes","Medium","High","No","None","Low","None",120,"None","High",6,8,2700,11000,10,60,2,"None","Tolerant",-33,"Summer","Routinely Available","Medium","Summer","Fall","No","Yes","No","No","No","No","Yes","No","No","No",3000000,"Slow","Medium","No","Slow","No","No","No",NA,"No","No","No","Low","Low","No","No",NA,"No","No"
"46","Adiantum pedatum","Adiantum pedatum","ADPE",NA,"ADPE","NA (L48, CAN)","CAN(NB, NS, ON, QC), USA(AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, VA, VT, WI, WV)","Fern","Pteridaceae","Perennial","Forb/herb","L48(N)CAN(N)","Yes","Spring and Summer","Slow","None","Medium","No","Yes","No","Brown","No","Dark Green","Moderate","Porous","Fine","Brown","No","Rhizomatous","Moderate",NA,1,"No","No","Moderate","No","None","No","Semi-Erect","None","Yes","Yes","No","Low","Low","No","Low","High","Medium",80,"None","Medium",4.6,6.6,1200,4800,36,60,10,"None","Tolerant",-38,"Summer","Contracting Only","High","Summer","Fall","No","No","No","Yes","No","No","No","No","Yes","No",NA,"Slow","Low","No","Moderate","No","No","No",NA,"No","No","Yes",NA,NA,"No","No",NA,"No","No"
"47","Aesculus californica","Aesculus californica","AECA",NA,"AECA","NA (L48)","USA(CA, OR)","Dicot","Hippocastanaceae","Perennial","Tree, Shrub","L48(N)","Yes","Spring and Summer",NA,"None","High","No","Yes","No","White","No","Red","Dense","Porous","Coarse","Brown","Yes","Single Stem","Moderate",25,25,"No","No","Long","No","None","Yes","Erect","Severe","Yes","Yes","No","None","Low","No","High","Low","Medium",175,"None","Medium",5.5,7.5,300,700,40,75,36,"None","Intermediate",2,"Summer","Contracting Only","Medium","Summer","Fall","No","Yes","No","Yes","No","No","Yes","No","No","No",12,"Slow","High","No","None","No","No","No","Low","Yes","No","Yes","Low","Low","Yes","Yes",NA,"Yes","No"
"48","Aesculus flava","Aesculus flava","AEFL",NA,"AEFL","NA (L48)","USA(AL, DC, GA, IL, IN, KY, MD, MS, NC, NJ, NY, OH, PA, SC, TN, VA, WV)","Dicot","Hippocastanaceae","Perennial","Tree, Shrub","L48(N)","Yes","Spring and Summer",NA,"None","High","No","Yes","No","Yellow","Yes","Green","Dense","Porous","Coarse","Brown","Yes","Single Stem","Moderate",30,65,"No","No","Long","No","None","Yes","Erect","Severe","No","Yes","No","None","Medium","Yes","Low","High","Low",150,"None","High",5,7,300,700,39,84,36,"None","Tolerant",-18,"Late Spring","No Known Source","Medium","Summer","Fall","No","Yes","No","Yes","No","No","Yes","No","No","No",28,"Slow","High","No","None","No","No","No","Medium","No","No","Yes","Low",NA,"No","No",NA,"Yes","No"
"49","Aesculus glabra","Aesculus glabra","AEGL",NA,"AEGL","NA (L48, CAN)","CAN(ON), USA(AL, AR, GA, IA, IL, IN, KS, KY, ME, MI, MN, MO, MS, NE, NH, NJ, NY, OH, OK, PA, TN, TX, VA, WI, WV)","Dicot","Hippocastanaceae","Perennial","Tree","L48(N)CAN(N)","Yes","Spring and Summer",NA,"None","High","No","Yes","No","Green","Yes","Green","Dense","Porous","Coarse","Brown","Yes","Single Stem","Rapid",25,68,"No","No","Short","No","None","Yes","Erect","Severe","No","Yes","Yes","None","Medium","Yes","Medium","Medium","Low",145,"None","Medium",5,7.1,300,700,30,60,36,"None","Tolerant",-33,"Mid Spring","Routinely Available","Medium","Spring","Fall","No","Yes","No","Yes","No","No","Yes","No","No","No",58,"Slow","High","No","None","No","No","No","Medium","Yes","No","Yes","Low","Low","No","No",NA,"Yes","No"
"50","Aesculus pavia","Aesculus pavia","AEPA",NA,"AEPA","NA (L48, CAN)","CAN(ON), USA(AL, AR, FL, GA, IL, IN, KY, LA, MO, MS, NC, OH, OK, SC, TN, TX, VA, WV)","Dicot","Hippocastanaceae","Perennial","Tree, Shrub","L48(N)CAN(I)","Yes","Spring and Summer",NA,"None","High","Yes","No","No","Red","Yes","Yellow-Green","Dense","Porous","Coarse","Brown","Yes","Single Stem","Moderate",12,25,"No","No","Long","No","None","Yes","Erect","Severe","Yes","Yes","Yes","Medium","Medium","No","Low","Medium","Low",180,"Low","High",3.7,7,700,1100,36,65,20,"None","Tolerant",-20,"Late Spring","No Known Source","Medium","Summer","Fall","No","Yes","No","Yes","No","No","Yes","No","No","No",48,"Slow","High","No","None","No","No","No","Medium","No","No","Yes","Low","Low","No","No","Low","No","No"
"51","Aesculus sylvatica","Aesculus sylvatica","AESY",NA,"AESY","NA (L48)","USA(AL, GA, NC, SC, TN, VA)","Dicot","Hippocastanaceae","Perennial","Tree, Shrub","L48(N)","Yes","Spring and Summer",NA,"None","High","No","Yes","No","Yellow","Yes","Green","Dense","Porous","Coarse","Brown","Yes","Single Stem","Moderate",30,65,"No","No","Long","No","None","Yes","Erect","Severe","No","Yes","No","Low","Medium","Yes","Low","High","Low",200,"None","High",5,7,300,700,40,80,36,"None","Intermediate",7,"Mid Spring","No Known Source","Medium","Summer","Fall","No","Yes","No","Yes","No","No","Yes","No","No","No",40,"Slow","High","No","None","No","No","No","Medium","No","No","Yes","Low",NA,"No","No",NA,"No","No"
"52","Agastache parvifolia","Agastache parvifolia","AGPA2",NA,"AGPA2","NA (L48)","USA(CA)","Dicot","Lamiaceae","Perennial","Subshrub, Forb/herb","L48(N)","Yes","Spring and Summer","Slow","None","Medium","No","No","No","Red","Yes","Dark Green","Moderate","Porous","Coarse","Green","No","Rhizomatous","Moderate",NA,2,"No","No","Moderate","No","None","No","Erect","None","Yes","Yes","No","Low","Low","No","High","Low","Medium",130,"None","Low",5.6,6.2,2700,4800,12,65,12,"Low","Intolerant",-23,"Late Spring","No Known Source","Low","Summer","Summer","No","No","No","No","No","No","Yes","No","Yes","No",NA,"Slow","Low","No","Slow","No","No","No",NA,"No","No","No","Low","Low","No","No","Low","No","No"
"53","Agastache urticifolia","Agastache urticifolia","AGUR",NA,"AGUR","NA (L48, CAN)","CAN(BC), USA(CA, CO, ID, MT, NV, OR, UT, WA, WY)","Dicot","Lamiaceae","Perennial","Forb/herb, Subshrub","L48(N)CAN(N)","Yes","Spring and Summer","Moderate","None","Medium","No","No","No","Red","Yes","Dark Green","Dense","Porous","Coarse","Green","No","Rhizomatous","Rapid",NA,5,"No","No","Long","No","None","No","Erect","None","Yes","Yes","Yes","Low","Medium","No","Low","Medium","High",120,"None","Medium",6,8,2700,4800,18,24,12,"Low","Intermediate",-33,"Late Spring","Contracting Only","Low","Summer","Summer","No","No","No","No","No","No","Yes","No","Yes","No",NA,"Slow","Low","No","Slow","No","No","Yes",NA,"No","No","No","Low","High","No","No","Medium","No","No"
"54","Agave americana","Agave americana","AGAM",NA,"AGAM","NA (L48), HI, VI","USA+(VI), USA(AZ, CA, FL, HI, LA, TX)","Monocot","Agavaceae","Perennial","Subshrub, Forb/herb, Shrub","L48(N)HI(I)VI(I)","Yes","Spring, Summer, Fall","Slow","None","High","No","Yes","Yes","Yellow","No","Green","Dense","Dense","Coarse","Brown","No","Single Crown","Slow",NA,6,"No","Yes","Long","No","None","No","Semi-Erect","None","Yes","Yes","No","None","Medium","No","High","Low","Low",300,"Medium","Low",6,8,1200,1700,8,14,30,"Low","Intolerant",12,"Indeterminate","No Known Source","Low",NA,NA,"Yes","Yes","No","Yes","No","No","Yes","No","Yes","No",15000,"Slow","Low","No","None","No","No","No",NA,"No","No","No",NA,NA,"No","No",NA,"No","No"
"55","Agave utahensis","Agave utahensis","AGUT",NA,"AGUT","NA (L48)","USA(AZ, CA, NV, UT)","Monocot","Agavaceae","Perennial","Subshrub, Shrub, Forb/herb","L48(N)","Yes","Spring and Summer",NA,"None","High","Yes","Yes","No","Yellow","Yes","Dark Green","Porous","Porous","Coarse","Black","No","Single Stem","Moderate",1,1,"No","Yes","Moderate","No","None","No","Erect","None","Yes","Yes","No","None","High","No","High","Low","None",120,"Low","Low",7,8,50,170,5,24,6,"None","Intolerant",-23,"Mid Spring","Contracting Only","High","Summer","Fall","No","Yes","No","Yes","No","No","Yes","No","No","No",12000,"Rapid","High","No","Slow","No","No","No",NA,"No","No","Yes","Low","Low","No","No","Low","No","No"
"56","Agoseris aurantiaca","Agoseris aurantiaca","AGAU2",NA,"AGAU2","NA (L48, AK, CAN)","CAN(AB, BC, NT, QC, YT), USA(AK, AZ, CA, CO, ID, MT, NM, NV, OR, SD, UT, WA, WY)","Dicot","Asteraceae","Perennial","Subshrub, Forb/herb","L48(N)AK(N)CAN(N)","Yes","Spring and Summer","Moderate","None","Medium","No","No","No","Orange","Yes","Green","Porous","Porous","Medium","Brown","Yes","Single Crown","Rapid",NA,1,"No","No","Short","No","None","No","Decumbent",NA,"Yes","Yes","Yes","None","Medium","No","Medium","Low","Medium",120,"Medium","Medium",6.6,7.5,NA,NA,19,69,6,"None","Intolerant",-33,"Mid Spring","Contracting Only","High","Summer","Fall","No","No","No","No","No","No","Yes","No","No","No",755000,"Moderate","High","No","None","No","No","No",NA,"No","No","No","Medium","Medium","No","No","Medium","No","No"
